position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
67,-3.064142411729699,-2.4437496662139893,2.6964791565605637,240,-12.087300300598145,-0.000508417550008744
68,-2.9707858571490493,-2.1340631246566772,2.817100272451959,240,-19.264272689819336,-1.3708974620385561e-05
69,-2.8178781485701014,-2.0226187705993652,2.73409147910989,240,-12.752301216125488,-0.00017867876158561558
70,-2.6593051626433106,-1.8830268383026123,2.4432395318763573,240,-13.5787353515625,-0.0003349220205564052
71,-3.0757540273761452,-2.498822569847107,2.667962810306581,240,-16.927404403686523,-0.000577402301132679
72,-3.383198910007195,-2.6014662981033325,3.42298005422216,240,-19.543058395385742,-0.00018618757894728333
73,-2.9623666601049385,-2.19561231136322,2.668715522955595,240,-13.689896583557129,-0.0002640137099660933
74,-2.7327264367226842,-2.1040244102478027,2.402315246641061,240,-14.482782363891602,-0.000528076896443963
75,-2.824068529108869,-2.2761811017990112,2.5996953693026974,240,-14.829367637634277,-0.00032431588624604046
76,-3.0636471661781495,-2.341491937637329,2.788952927133035,240,-15.152495384216309,-7.92710343375802e-05
77,-3.04701885079218,-2.3312742710113525,2.7830198487314246,240,-14.813735961914062,-0.00014232576359063387
78,-2.7961013256584315,-1.698348343372345,3.293091258450436,240,-19.387727737426758,-0.0002580548170953989
79,-3.0250584561826446,-2.132467031478882,3.2456469296587476,240,-22.913734436035156,-0.0002992897352669388
80,-2.7435324067494853,-1.9393696188926697,2.699169254943373,240,-17.211490631103516,-0.0007286992622539401
81,-2.9454801749752124,-2.0399482250213623,3.0086634674843333,240,-17.33253288269043,-0.0004060635983478278
82,-2.8424975237051817,-2.1059701442718506,2.8351196193835313,240,-13.616192817687988,-0.0001938155182870105
83,-3.224614568560173,-2.3911460638046265,3.04802432137915,240,-19.024703979492188,-0.00018821375851985067
84,-3.2085280844968413,-2.6106369495391846,2.794159536970003,240,-12.579618453979492,-0.00043883229955099523
85,-3.1658367800760363,-2.120803117752075,3.1500330241098613,240,-21.682353973388672,-0.0002683041093405336
86,-3.195676795583131,-2.3907408714294434,2.9113759330278786,240,-15.502069473266602,-0.0003270567976869643
87,-3.0781748424507898,-2.604143261909485,2.731774660461574,240,-11.919798851013184,-9.202533692587167e-05
88,-2.9185649197058714,-2.283333420753479,2.797635512794742,240,-17.9627742767334,-0.0010240792762488127
89,-3.100751511534448,-2.128258228302002,2.985474725448768,240,-12.163034439086914,-0.00012468514614738524
90,-2.935828057241876,-2.1301969289779663,2.685355903622685,240,-11.420717239379883,-5.364403477869928e-06
91,-3.0213030706901765,-2.406317114830017,2.5658621750399657,240,-11.658690452575684,-4.327203714638017e-05
92,-2.8874454232379017,-1.9741655588150024,3.1397428546409616,240,-26.800111770629883,-0.0004885195521637797
93,-3.2558088028185237,-2.6988487243652344,2.864784920010616,240,-12.933361053466797,-1.8358061424805783e-05
94,-3.0257201535980736,-1.9391831755638123,3.0164539272571287,240,-15.45705795288086,-4.482168878894299e-05
95,-3.117994255395994,-2.3716323375701904,3.050037701840608,240,-25.5891170501709,-0.0002946419408544898
96,-3.4054409259265714,-2.5904810428619385,3.0406063219712105,240,-19.749549865722656,-0.0009047467028722167
97,-3.1110107524628803,-2.153196096420288,2.9342747074043554,240,-16.268339157104492,-9.762764238985255e-05
98,-2.8818089927974597,-1.949815034866333,2.819296126923675,240,-12.813020706176758,-3.7431014789035544e-05
99,-3.1811254523647827,-2.498853087425232,2.9200448455540715,240,-12.883530616760254,-4.482168878894299e-05
100,-3.012904712203999,-1.8718593120574951,3.2250498400635244,240,-20.07559585571289,-9.298280929215252e-06
101,-2.9493187781371337,-2.273248791694641,2.662040333424643,240,-14.34191608428955,-3.957670196541585e-05
102,-2.8114231512288823,-1.917153000831604,2.650301884820279,240,-11.03660774230957,-0.0003887851198669523
103,-3.4840717170208033,-2.5572702884674072,3.440367082204243,240,-18.965299606323242,-0.0015977962175384164
104,-3.389253337408324,-2.3180527687072754,3.2178154325769657,240,-18.480379104614258,-0.00028761065914295614
105,-2.6149183085119754,-1.7534558773040771,2.498060168687243,240,-11.211965560913086,-9.727005090098828e-05
106,-3.130799171754431,-2.451119303703308,2.8195062058979645,240,-14.30589771270752,-0.0006287504802457988
107,-3.103502090136438,-2.1723365783691406,2.9157980283410927,240,-13.43244457244873,-0.0002926159941125661
108,-3.1023846582043917,-2.1812297105789185,2.8174398918524974,240,-13.400715827941895,-0.0001515035255579278
109,-3.1645350464865865,-2.328468680381775,2.90389270192722,240,-17.985645294189453,-0.00032789100077934563
110,-3.075993223518829,-2.4002422094345093,2.8804964832429047,240,-14.319112777709961,-0.00014590153296012431
111,-2.8008939119001903,-2.080633521080017,2.5431603286984594,240,-11.164995193481445,-0.0002004899288294837
112,-3.3527927807668068,-2.507080316543579,3.154482508565595,240,-16.924388885498047,-0.0009559590835124254
113,-3.1295585732686657,-2.4352611303329468,2.8468952239320253,240,-17.903614044189453,-0.00011562632425921038
114,-2.528479929365919,-1.871174693107605,2.4373067663424637,240,-11.035272598266602,-0.00018869050836656243
115,-3.126830614280137,-2.2667280435562134,2.9205559637301786,240,-15.838912010192871,-2.2411095415009186e-05
116,-3.3019878557301126,-2.7462730407714844,2.901820208634488,240,-15.77591323852539,-0.0001629458274692297
117,-2.5875192694547877,-1.8935971856117249,2.469123313085616,240,-11.739044189453125,-0.000663894519675523
118,-2.987745949311587,-2.0769271850585938,2.876077702894954,240,-13.808388710021973,-9.560128091834486e-05
119,-2.7268790688422997,-2.0430532693862915,2.5881044835067137,240,-15.658597946166992,-3.242440288886428e-05
120,-2.664177568174394,-1.6965192556381226,2.6229759892047704,240,-11.23007869720459,-0.0006032554083503783
121,-2.6851892290997834,-1.989648461341858,2.5542564088658692,240,-12.683856010437012,-4.529942543740617e-06
122,-2.8946662490314337,-2.1626505851745605,2.6398240723898403,240,-11.7822265625,-0.0007831366965547204
123,-2.906796304558035,-1.9791443943977356,2.8965047972539737,240,-18.11260986328125,-0.0003280101518612355
124,-3.064767586499511,-2.1615625619888306,2.866436414516155,240,-13.014583587646484,-0.000620768463704735
125,-3.03068004455284,-2.158264994621277,2.919114376608898,240,-16.59610366821289,-7.509902934543788e-05
126,-2.5587754762324644,-2.116133213043213,2.336767107143615,240,-10.944053649902344,-0.00010513706365600228
127,-2.984264963362269,-2.20107638835907,2.942392187266529,240,-15.239819526672363,-0.00121412449516356
128,-2.727482460524334,-2.091456890106201,2.4592519838338296,240,-11.606730461120605,-0.0007874249131418765
129,-2.8907484675881876,-1.965851366519928,2.7154296982646176,240,-12.426949501037598,-5.960462772236497e-07
130,-2.748852444481842,-1.9896697998046875,2.5424309451068035,240,-11.777366638183594,-0.0003303935518488288
131,-2.9793341923027885,-2.282590627670288,2.7022201452317445,240,-12.871000289916992,-0.0002060916303889826
132,-3.022194349792956,-2.1405186653137207,2.7890406314894043,240,-18.466428756713867,-3.0874729418428615e-05
133,-2.7352454617556456,-1.953848123550415,2.7215261493381093,240,-13.479606628417969,-0.00030191155383363366
134,-2.4787599757941887,-1.780827820301056,2.302801309391483,240,-13.568194389343262,-0.0003691230376716703
135,-3.044272000150037,-2.4808331727981567,2.582440576153133,240,-12.633846282958984,-0.0007453762227669358
136,-3.2407521089113893,-2.3929773569107056,3.1574280394132597,240,-19.43592071533203,-0.00016389934171456844
137,-2.7856323091063433,-2.05806040763855,2.5465416403653554,240,-13.555808067321777,-0.0008690156391821802
138,-2.8268128871838902,-2.116081476211548,2.610510590147303,240,-14.933006286621094,-0.00039009589818306267
139,-2.7966906463066454,-2.1849799156188965,2.5974187730689895,240,-14.821904182434082,-0.0003680505615193397
140,-3.013530351517996,-2.4188684225082397,2.739987806444574,240,-13.09980297088623,-8.129743218887597e-05
141,-3.072197038778389,-2.577506422996521,2.514564402330928,240,-11.187345504760742,-8.332382276421413e-05
142,-2.697052852588422,-1.7676841020584106,3.0864145642456324,240,-17.78191375732422,-0.00015627116954419762
143,-3.058056700161372,-2.0671138763427734,3.280602194570278,240,-22.11159324645996,-0.00012087091454304755
144,-2.733000646679284,-1.79181969165802,2.986863957241581,240,-23.17929458618164,-0.0007426364463753998
145,-3.012407597020501,-2.129389524459839,2.9498494771065076,240,-15.619421005249023,-0.0005952732171863317
146,-2.729799881112558,-1.78322035074234,2.879010639384112,240,-13.469490051269531,-0.0001784403866622597
147,-3.0678038424403593,-2.1790590286254883,2.9343198721715793,240,-17.278532028198242,-0.0002553137019276619
148,-3.035520677476961,-2.4598156213760376,2.6781111796879755,240,-13.237369537353516,-0.00043525759247131646
149,-3.1459883329024403,-2.107256293296814,3.2721372755968625,240,-25.267072677612305,-0.00032669928623363376
150,-3.0863087773230897,-2.1307836771011353,2.8454097539886205,240,-14.01039981842041,-0.00035720644518733025
151,-2.9733716861525257,-2.2686264514923096,2.7528485909775346,240,-13.776902198791504,-0.00011193125828867778
152,-2.8140270943527868,-2.217766284942627,2.6063679503011357,240,-11.27489185333252,-0.0008493629866279662
153,-3.0863227189674944,-2.0976732969284058,2.951423097808074,240,-12.339263916015625,-0.00014399446081370115
154,-2.8918419728503486,-2.116180658340454,2.6841740962561524,240,-10.84867000579834,-6.198863957251888e-06
155,-3.040895143471554,-2.5809690952301025,2.6178088726326676,240,-11.226673126220703,-2.825220326485578e-05
156,-2.966636290363385,-2.0868449211120605,3.131958123486927,240,-26.536373138427734,-0.0005015069036744535
157,-3.298968572751399,-2.74305260181427,2.886004755215006,240,-15.320246696472168,-2.6225699912174605e-05
158,-3.1134064430108688,-2.1831976175308228,3.0358908747384312,240,-18.226085662841797,-5.018585216021165e-05
159,-3.283853608991194,-2.5073479413986206,3.127124084848303,240,-25.116134643554688,-0.00015579440514557064
160,-3.234969266445114,-2.576128840446472,2.805585904561951,240,-15.593570709228516,-0.0005212855176068842
161,-3.010752204900018,-2.1196703910827637,2.927831788444791,240,-16.576993942260742,-9.512448741588742e-05
162,-2.8601645998651595,-1.899517834186554,2.7616387061842405,240,-12.713740348815918,-3.075552376685664e-05
163,-3.236617134852001,-2.595985174179077,2.9721128744490564,240,-14.482000350952148,-3.731181277544238e-05
164,-3.008737661069487,-2.0098997950553894,3.1203716175660077,240,-19.91865348815918,-7.629365427419543e-06
165,-2.9580159619644593,-2.3116703033447266,2.5963192569887523,240,-12.265117645263672,-0.0013496108585968614
166,-2.803010173345077,-1.9267608523368835,2.6318262431759347,240,-10.976123809814453,-0.0004409771354403347
167,-3.4354779563625923,-2.503675103187561,3.1880700038329293,240,-16.368186950683594,-0.00135996809694916
168,-3.1743117449632337,-2.2862125635147095,3.0021995478329147,240,-15.790740966796875,-0.00022194306075107306
